series,X,financing,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,0,broker,0.1,2.11812782023486,0.04017214440080352,0.03335467863288688,0.03742520409048927,0.03935709481112542,-0.03491734200818564,0.0,0.0,0.0,2.676889732797836
mkt,0,broker,0.2,2.11812782023486,0.04812443331701122,0.03528353328998585,0.0430127637665072,0.04701040738672264,-0.07845692779137359,0.0,0.0,0.0,3.2383301893456813
mkt,0,broker,0.3,2.11812782023486,0.05594024569541145,0.03666460985973483,0.04824373260902021,0.054358763526544555,-0.12583068691804555,0.0,0.0,0.0,3.89927237482122
mkt,0,broker,0.4,2.11812782023486,0.06343457400703045,0.037539621074484816,0.05319001494758302,0.061401274311274914,-0.17389325262846356,0.0,0.0,0.0,4.6533895661808735
mkt,0,broker,0.5,2.11812782023486,0.07070591802138637,0.038232711999098876,0.05786279382084991,0.0681378312440542,-0.221176312089771,0.0006,0.0,0.0002,5.5176618346270825
mkt,0,broker,0.6,2.11812782023486,0.07772432826878406,0.03839918888885387,0.06215997662799555,0.07456885098195677,-0.26726524691960174,0.008,0.0,0.0008,6.4966903343813245
mkt,0,broker,0.7,2.11812782023486,0.0844550901779405,0.03808129851133797,0.06612417042778584,0.08069333008687916,-0.3123456583101291,0.0354,0.0,0.0018,7.590830752749922
mkt,0,broker,0.8,2.11812782023486,0.09085091166075243,0.03787872192836383,0.06982152525205237,0.08651151961396585,-0.3559409567380156,0.085,0.0,0.0024,8.792957482443502
mkt,0,broker,0.9,2.11812782023486,0.09692645474453998,0.03719341591265527,0.07310251114993394,0.09202298499719463,-0.3978387688764322,0.1716,0.0,0.0046,10.102707146685457
mkt,0,broker,1.0,2.11812782023486,0.10277062660740455,0.03612234203344431,0.0760710026016353,0.09722650177118604,-0.43775097151941306,0.2892,0.0,0.0062,11.537979035206398
mkt,0,broker,1.1,2.11812782023486,0.10641995681095773,0.03293145604931606,0.07712005493113472,0.10053370933932733,-0.4776325551068697,0.4242,0.0002,0.0086,12.531412586059863
mkt,0,broker,1.2,2.11812782023486,0.10992554905249385,0.029626378045346603,0.07773857439609533,0.10353166933807134,-0.5155279588174797,0.555,0.001,0.0116,13.562701708919592
mkt,0,broker,1.3,2.11812782023486,0.11294381540379939,0.02575674854146597,0.0779856640804994,0.10621968953081674,-0.5522796447916263,0.6728,0.0024,0.0146,14.515468082755644
mkt,0,broker,1.4,2.11812782023486,0.11576007213240891,0.02155263513437562,0.07778639609632049,0.10859953116552626,-0.5860744609807766,0.7712,0.0048,0.021,15.462168804948478
mkt,0,broker,1.5,2.11812782023486,0.1180958922143408,0.017018763499547753,0.07733607056216518,0.11066859514616904,-0.6181548926150808,0.8456,0.0088,0.0274,16.292071314665257
mkt,0,broker,1.6,2.11812782023486,0.12002643303588212,0.012086524733877068,0.0766781825142453,0.11242154786318072,-0.649393266402546,0.9028,0.0168,0.0334,17.01009806599341
mkt,0,broker,1.7,2.11812782023486,0.12179209278779857,0.006967772505374218,0.07556177070311293,0.11386779009474067,-0.6791235872644916,0.9408,0.0312,0.0402,17.693327358315997
mkt,0,broker,1.8,2.11812782023486,0.12317345179359018,0.0016678758720298037,0.07404377147463526,0.11499995611570381,-0.7061430657828132,0.965,0.0488,0.0482,18.24613211984692
mkt,0,broker,1.9,2.11812782023486,0.12425238289443341,-0.004222689010543255,0.07224456932524814,0.11582019203280529,-0.7313925843194227,0.9794,0.069,0.0542,18.689402690042122
mkt,0,broker,2.0,2.11812782023486,0.12487857392345048,-0.010427706389707136,0.069792067462982,0.11632408972485368,-0.75562349566976,0.9904,0.0968,0.0614,18.95139496997862
mkt,0,broker,2.1,2.11812782023486,0.12513282657137215,-0.016592116303447434,0.06715949198046517,0.11651336788216322,-0.7776353606041523,0.996,0.131,0.073,19.058773229583984
mkt,0,broker,2.2,2.11812782023486,0.12500901074270565,-0.023637568798730635,0.06417709652059223,0.1163853875793849,-0.7979964919298608,0.997,0.1742,0.0836,19.00640770481492
mkt,0,broker,2.3,2.11812782023486,0.1243791660679553,-0.030679619239128045,0.06078533312135237,0.11594091547406177,-0.8177707277394666,0.9986,0.22,0.0924,18.74216460282063
mkt,0,broker,2.4,2.11812782023486,0.12351913126417546,-0.03745131274743121,0.057291670975451126,0.11517406933241311,-0.8356970429994937,0.999,0.2674,0.1016,18.387039382564115
mkt,0,broker,2.5,2.11812782023486,0.12232862661429433,-0.044525520298932114,0.05341178568603355,0.11408828066597568,-0.8520664462502272,0.9996,0.318,0.1136,17.906105219417313
mkt,0,broker,2.6,2.11812782023486,0.12096050907337097,-0.05225059710211502,0.04910115615606331,0.11267678719477742,-0.867360799069627,0.9996,0.3682,0.1256,17.368321018503245
mkt,0,broker,2.7,2.11812782023486,0.11904974862438056,-0.05949799332545459,0.044550126309034765,0.110946039527691,-0.8813598971950389,0.9998,0.4192,0.1372,16.643124222620038
mkt,0,broker,2.8,2.11812782023486,0.11700671108007821,-0.06773202278366636,0.039918681168641945,0.10888934272973894,-0.8940981075943533,0.9998,0.4758,0.1534,15.899906156340808
mkt,0,broker,2.9,2.11812782023486,0.11466644533711401,-0.0765097085621271,0.034508586609746594,0.10650480754970093,-0.9057422808993447,1.0,0.5254,0.1662,15.087707321218268
mkt,0,broker,3.0,2.11812782023486,0.11181652731933245,-0.08527625521199035,0.029008180894272706,0.1037927903318445,-0.9167054392677729,1.0,0.5774,0.1794,14.152336677732423
mkt,0,broker,3.1,2.11812782023486,0.10850874505489183,-0.09436743688178784,0.02325498728930253,0.10074894031460438,-0.9264910630351508,1.0,0.6244,0.194,13.136452253632271
mkt,0,broker,3.2,2.11812782023486,0.10484611515350506,-0.10393881439117364,0.016865169950190995,0.0973726430959074,-0.9355077535553258,1.0,0.67,0.2088,12.093299926808093
mkt,0,broker,3.3,2.11812782023486,0.10100554292946284,-0.11375670941301204,0.010223458683494113,0.0936608492125655,-0.9435984151104342,1.0,0.7108,0.2244,11.08505751221223
